  arms=['real', 'shuffled', 'same'] seeds=[0, 1, 2] steps=6000 ckpt_every=300 n_measure=16
  [seed 0] rules=13 corpus=1672 B heldout=74
  [shuffled s2] step   300 | CE 2.553 | acc 0.000 | rho_gw +0.015 | bimod 0.394 | effrank 14.7 | 4s
  [shuffled s2] step   600 | CE 2.538 | acc 0.000 | rho_gw +0.017 | bimod 0.411 | effrank 12.0 | 7s
  [shuffled s2] step   900 | CE 2.547 | acc 0.000 | rho_gw +0.020 | bimod 0.428 | effrank 12.3 | 11s
  [shuffled s2] step  1200 | CE 2.534 | acc 0.000 | rho_gw +0.020 | bimod 0.432 | effrank 8.9 | 15s
  [shuffled s2] step  1500 | CE 2.553 | acc 0.000 | rho_gw +0.021 | bimod 0.450 | effrank 10.4 | 18s
  [shuffled s2] step  1800 | CE 2.531 | acc 0.000 | rho_gw +0.022 | bimod 0.448 | effrank 9.7 | 22s
  [shuffled s2] step  2100 | CE 2.542 | acc 0.000 | rho_gw +0.024 | bimod 0.459 | effrank 11.9 | 25s
  [shuffled s2] step  2400 | CE 2.543 | acc 0.000 | rho_gw +0.026 | bimod 0.468 | effrank 13.4 | 29s
  [shuffled s2] step  2700 | CE 2.543 | acc 0.000 | rho_gw +0.026 | bimod 0.450 | effrank 8.3 | 32s
  [shuffled s2] step  3000 | CE 2.540 | acc 0.000 | rho_gw +0.027 | bimod 0.440 | effrank 10.8 | 36s
  [shuffled s2] step  3300 | CE 2.544 | acc 0.000 | rho_gw +0.028 | bimod 0.460 | effrank 10.4 | 39s
  [shuffled s2] step  3600 | CE 2.538 | acc 0.000 | rho_gw +0.029 | bimod 0.449 | effrank 12.3 | 43s
  [shuffled s2] step  3900 | CE 2.542 | acc 0.000 | rho_gw +0.029 | bimod 0.453 | effrank 10.2 | 46s
  [shuffled s2] step  4200 | CE 2.551 | acc 0.000 | rho_gw +0.031 | bimod 0.458 | effrank 12.4 | 50s
  [shuffled s2] step  4500 | CE 2.543 | acc 0.000 | rho_gw +0.032 | bimod 0.462 | effrank 11.5 | 54s
  [shuffled s2] step  4800 | CE 2.541 | acc 0.000 | rho_gw +0.032 | bimod 0.444 | effrank 8.7 | 57s
  [shuffled s2] step  5100 | CE 2.540 | acc 0.000 | rho_gw +0.034 | bimod 0.455 | effrank 10.1 | 61s
  [shuffled s2] step  5400 | CE 2.542 | acc 0.000 | rho_gw +0.035 | bimod 0.450 | effrank 11.4 | 64s
  [shuffled s2] step  5700 | CE 2.539 | acc 0.000 | rho_gw +0.036 | bimod 0.443 | effrank 10.0 | 68s
  [shuffled s2] step  6000 | CE 2.550 | acc 0.000 | rho_gw +0.037 | bimod 0.454 | effrank 12.5 | 71s
  [same s2] step     0 | CE nan | acc 0.000 | rho_gw -0.002 | bimod 0.396 | effrank 27.3 | 45s
  [same s2] step   300 | CE 0.031 | acc 0.014 | rho_gw +0.033 | bimod 0.351 | effrank 35.4 | 50s
  [same s2] step   600 | CE 0.015 | acc 0.014 | rho_gw +0.054 | bimod 0.424 | effrank 63.9 | 56s
  [same s2] step   900 | CE 0.013 | acc 0.014 | rho_gw -0.001 | bimod 0.312 | effrank 4.6 | 62s
  [same s2] step  1200 | CE 0.013 | acc 0.014 | rho_gw +0.027 | bimod 0.289 | effrank 22.4 | 69s
  [same s2] step  1500 | CE 0.012 | acc 0.014 | rho_gw +0.001 | bimod 0.383 | effrank 5.0 | 75s
  [same s2] step  1800 | CE 0.012 | acc 0.014 | rho_gw +0.003 | bimod 0.380 | effrank 6.2 | 81s
  [same s2] step  2100 | CE 0.012 | acc 0.000 | rho_gw +0.004 | bimod 0.107 | effrank 7.2 | 89s
  [same s2] step  2400 | CE 0.012 | acc 0.000 | rho_gw +0.041 | bimod 0.108 | effrank 30.3 | 98s
  [same s2] step  2700 | CE 0.012 | acc 0.000 | rho_gw +0.001 | bimod 0.376 | effrank 4.8 | 105s
  [same s2] step  3000 | CE 0.012 | acc 0.000 | rho_gw +0.003 | bimod 0.366 | effrank 5.9 | 112s
  [same s2] step  3300 | CE 0.012 | acc 0.000 | rho_gw +0.007 | bimod 0.382 | effrank 6.1 | 118s
  [same s2] step  3600 | CE 0.012 | acc 0.000 | rho_gw +0.005 | bimod 0.357 | effrank 6.6 | 125s
  [same s2] step  3900 | CE 0.012 | acc 0.000 | rho_gw +0.008 | bimod 0.144 | effrank 7.3 | 132s
  [same s2] step  4200 | CE 0.012 | acc 0.000 | rho_gw +0.012 | bimod 0.390 | effrank 6.8 | 138s
  [same s2] step  4500 | CE 0.012 | acc 0.000 | rho_gw +0.011 | bimod 0.397 | effrank 5.7 | 145s
  [same s2] step  4800 | CE 0.012 | acc 0.014 | rho_gw +0.012 | bimod 0.363 | effrank 6.1 | 152s
  [same s2] step  5100 | CE 0.012 | acc 0.014 | rho_gw +0.009 | bimod 0.380 | effrank 5.9 | 158s
  [same s2] step  5400 | CE 0.012 | acc 0.014 | rho_gw +0.009 | bimod 0.114 | effrank 6.4 | 164s
  [same s2] step  5700 | CE 0.012 | acc 0.014 | rho_gw +0.011 | bimod 0.379 | effrank 5.2 | 171s
  [same s2] step  6000 | CE 0.012 | acc 0.014 | rho_gw +0.010 | bimod 0.382 | effrank 5.6 | 177s

  ==== FROZEN-BASIS GRADIENT TOMOGRAPHY ====
  [real] rho_gw [0.0619, 0.0066] bimod [0.3242, 0.0081] effrank [25.392, 0.9449] (base [27.057, 2.818]) | frozen_flip [0.0078, 0.0004] active_flip [0.0059, 0.0002] | acc [0.2658, 0.0446]
  [shuffled] rho_gw [0.0407, 0.0025] bimod [0.4432, 0.0093] effrank [13.686, 1.6992] (base [18.7397, 1.9244]) | frozen_flip [0.0028, 0.0001] active_flip [0.0065, 0.0002] | acc [0.0, 0.0]
  [same] rho_gw [0.006, 0.0047] bimod [0.3782, 0.0042] effrank [6.21, 0.5811] (base [28.0833, 1.3891]) | frozen_flip [0.0007, 0.0001] active_flip [0.0004, 0.0] | acc [0.027, 0.0191]

  VERDICT (real vs shuffled null):
   A photograph  : effrank(real)-effrank(shuf) = 11.706 (want < 0)
   B bimodal     : rho(real)-rho(shuf) = 0.0212 (want > 0)
   C route-around: active/frozen flip real=0.756 vs shuf=2.321 (want real>>1)

  wrote /Users/mwhitford/src/verbum/results/gd-frozen-basis/verdict_multiseed.json  (1036.1s)
