  arms=['real', 'shuffled', 'same'] seeds=[0, 1, 2] steps=6000 ckpt_every=300 n_measure=16
  [seed 0] rules=13 corpus=1672 B heldout=74
  [real s2] step  3600 | CE 0.042 | acc 0.216 | rho_gw +0.042 | bimod 0.328 | effrank 21.9 | 111s
  [real s2] step  3900 | CE 0.052 | acc 0.203 | rho_gw -0.042 | bimod 0.345 | effrank 20.0 | 116s
  [real s2] step  4200 | CE 0.039 | acc 0.243 | rho_gw +0.051 | bimod 0.333 | effrank 23.3 | 121s
  [real s2] step  4500 | CE 0.044 | acc 0.189 | rho_gw +0.052 | bimod 0.324 | effrank 24.2 | 125s
  [real s2] step  4800 | CE 0.043 | acc 0.243 | rho_gw -0.032 | bimod 0.351 | effrank 19.9 | 130s
  [real s2] step  5100 | CE 0.039 | acc 0.257 | rho_gw +0.057 | bimod 0.330 | effrank 20.0 | 135s
  [real s2] step  5400 | CE 0.041 | acc 0.270 | rho_gw +0.058 | bimod 0.334 | effrank 24.8 | 140s
  [real s2] step  5700 | CE 0.041 | acc 0.203 | rho_gw -0.035 | bimod 0.317 | effrank 24.8 | 144s
  [real s2] step  6000 | CE 0.041 | acc 0.216 | rho_gw +0.067 | bimod 0.332 | effrank 21.6 | 149s
  [shuffled s2] step     0 | CE nan | acc 0.000 | rho_gw -0.003 | bimod 0.489 | effrank 16.7 | 0s
  [shuffled s2] step   300 | CE 2.553 | acc 0.000 | rho_gw +0.015 | bimod 0.394 | effrank 14.7 | 4s
  [shuffled s2] step   600 | CE 2.538 | acc 0.000 | rho_gw +0.017 | bimod 0.411 | effrank 12.0 | 8s
  [shuffled s2] step   900 | CE 2.547 | acc 0.000 | rho_gw +0.020 | bimod 0.428 | effrank 12.3 | 12s
  [shuffled s2] step  1200 | CE 2.534 | acc 0.000 | rho_gw +0.020 | bimod 0.432 | effrank 8.9 | 16s
  [shuffled s2] step  1500 | CE 2.553 | acc 0.000 | rho_gw +0.021 | bimod 0.450 | effrank 10.4 | 19s
  [shuffled s2] step  1800 | CE 2.531 | acc 0.000 | rho_gw +0.022 | bimod 0.448 | effrank 9.7 | 23s
  [shuffled s2] step  2100 | CE 2.542 | acc 0.000 | rho_gw +0.024 | bimod 0.459 | effrank 11.9 | 27s
  [shuffled s2] step  2400 | CE 2.543 | acc 0.000 | rho_gw +0.026 | bimod 0.468 | effrank 13.4 | 31s
  [shuffled s2] step  2700 | CE 2.543 | acc 0.000 | rho_gw +0.026 | bimod 0.450 | effrank 8.3 | 35s
  [shuffled s2] step  3000 | CE 2.540 | acc 0.000 | rho_gw +0.027 | bimod 0.440 | effrank 10.8 | 39s
  [shuffled s2] step  3300 | CE 2.544 | acc 0.000 | rho_gw +0.028 | bimod 0.460 | effrank 10.4 | 42s
  [shuffled s2] step  3600 | CE 2.538 | acc 0.000 | rho_gw +0.029 | bimod 0.449 | effrank 12.3 | 46s
  [shuffled s2] step  3900 | CE 2.542 | acc 0.000 | rho_gw +0.029 | bimod 0.453 | effrank 10.2 | 50s
  [shuffled s2] step  4200 | CE 2.551 | acc 0.000 | rho_gw +0.031 | bimod 0.458 | effrank 12.4 | 54s
  [shuffled s2] step  4500 | CE 2.543 | acc 0.000 | rho_gw +0.032 | bimod 0.462 | effrank 11.5 | 58s
  [shuffled s2] step  4800 | CE 2.541 | acc 0.000 | rho_gw +0.032 | bimod 0.444 | effrank 8.7 | 61s
  [shuffled s2] step  5100 | CE 2.540 | acc 0.000 | rho_gw +0.034 | bimod 0.455 | effrank 10.1 | 65s
